               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031766,            0.033159,           0.0018497,             0.80927,             0.70421,             0.75707,             0.39685,            0.044789,            0.033129,           0.0068502,             0.00307,             0.00307,             0.00307
                  37,            0.032024,            0.033272,           0.0016984,             0.77189,             0.71689,             0.76168,             0.40895,            0.044464,            0.033232,           0.0081798,            0.002872,            0.002872,            0.002872
                  38,            0.031449,            0.032474,             0.00161,             0.81589,             0.72438,             0.77815,             0.41764,            0.044293,            0.033077,           0.0069982,            0.002674,            0.002674,            0.002674
                  39,            0.031159,            0.031835,           0.0015559,             0.79936,             0.72945,             0.77463,             0.41169,            0.043999,            0.033656,           0.0066043,            0.002476,            0.002476,            0.002476
                  40,            0.030945,            0.032155,           0.0014993,             0.78165,             0.72543,             0.76866,             0.40739,            0.044608,            0.033672,           0.0073326,            0.002278,            0.002278,            0.002278
                  41,              0.0308,            0.031893,           0.0013747,             0.78928,             0.73257,             0.76898,             0.41249,            0.044186,            0.033703,           0.0074296,             0.00208,             0.00208,             0.00208
                  42,            0.030332,             0.03154,           0.0013196,             0.81427,             0.70223,             0.76445,             0.41175,            0.044699,            0.033549,           0.0074238,            0.001882,            0.001882,            0.001882
                  43,            0.030319,            0.031497,           0.0013007,             0.81511,             0.67784,             0.75775,             0.40353,            0.044743,            0.033685,           0.0079101,            0.001684,            0.001684,            0.001684
                  44,            0.029963,            0.031393,           0.0012923,             0.74743,             0.73333,             0.76309,             0.41342,             0.04488,            0.034257,           0.0073523,            0.001486,            0.001486,            0.001486
                  45,            0.029585,            0.030825,           0.0012315,             0.79627,             0.69738,             0.75609,              0.4029,            0.044738,            0.034183,           0.0077708,            0.001288,            0.001288,            0.001288
                  46,            0.029842,            0.031496,           0.0011751,             0.81325,             0.70964,             0.77149,             0.40897,            0.044495,            0.033879,            0.007758,             0.00109,             0.00109,             0.00109
                  47,            0.029611,            0.030975,           0.0012216,              0.7783,             0.72438,             0.76806,             0.41294,             0.04457,            0.034063,           0.0072399,            0.000892,            0.000892,            0.000892
                  48,            0.029247,            0.030495,           0.0012526,             0.77949,             0.72233,             0.76809,             0.41249,            0.044682,            0.034299,           0.0074065,            0.000694,            0.000694,            0.000694
                  49,            0.029037,            0.030542,            0.001187,             0.78141,             0.72479,             0.76823,             0.41331,            0.044726,             0.03448,           0.0074229,            0.000496,            0.000496,            0.000496
